4:412  0:382  Found UEFI Acpi 2.0 RSDP at 8CFFD014
4:412  0:000  Saving ACPI tables from RSDP 8CFFD014 to EFI\CLOVER\ACPI\origin ...
4:412  0:000   8CFFD014: 'RSD PTR ', Rev: 2 (Acpi 2.0 or newer), Len: 36 -> RSDP.aml
4:423  0:010    (Xsdt: 8CFC0188, Rsdt: 8CFC00C4)
4:423  0:000    8CFC0188: 'XSDT', 'XMCC1703', Rev: 1, Len: 244 -> XSDT.aml
4:769  0:000    9. 8CFC1000: 'DBGP', 'XMCC1703', Rev: 1, Len: 52
4:769  0:000    10. 8CFBC000: 'SSDT', 'XMCC1703', Rev: 2, Len: 2511
4:769  0:000    11. 8CFB8000: 'DMAR', 'XMCC1703', Rev: 1, Len: 240
4:769  0:000    12. 8CFFC000: 'UEFI', 'XMCC1703', Rev: 1, Len: 566
4:769  0:000    13. 8CFF4000: 'SSDT', 'XMCC1703', Rev: 2, Len: 1219
4:769  0:000    14. 8CFED000: 'ASF!', 'XMCC1703', Rev: 32, Len: 165
4:769  0:000    15. 8CFE8000: 'HPET', 'XMCC1703', Rev: 1, Len: 56
4:769  0:000    16. 8CFC2000: 'WSMT', 'XMCC1703', Rev: 1, Len: 40
4:769  0:000    17. 8CFBD000: 'SSDT', 'XMCC1703', Rev: 2, Len: 6062
4:769  0:000    18. 8CFE5000: 'FPDT', 'XMCC1703', Rev: 1, Len: 68
4:769  0:000    19. 8CFF6000: 'UEFI', 'XMCC1703', Rev: 1, Len: 66
4:769  0:000    20. 8CFEB000: 'BOOT', 'XMCC1703', Rev: 1, Len: 40
4:769  0:000    21. 8CFBF000: 'DBG2', 'XMCC1703', Rev: 0, Len: 84
4:769  0:000    22. 8CFE6000: 'MCFG', 'XMCC1703', Rev: 1, Len: 60
4:769  0:000    23. 8CFF2000: 'TPM2', 'XMCC1703', Rev: 3, Len: 52
4:769  0:000    24. 8CFB9000: 'SSDT', 'XMCC1703', Rev: 1, Len: 11240
4:769  0:000    25. 8CFB7000: 'BGRT', 'XMCC1703', Rev: 1, Len: 56
